issue_id,type,created_date,created_date_zoned,updated_date,updated_date_zoned,resolved_date,resolved_date_zoned,summary,description,priority,status,resolution,assignee,assignee_username,reporter,reporter_username
MRM-408,Bug,2007-05-31T09:29:21.54Z,2007-05-31T09:29:21.54Z,2009-07-30T06:22:31.953Z,2009-07-30T06:22:31.953Z,2007-08-10T03:34:15.656Z,2007-08-10T03:34:15.656Z,"The mvn deploy:deploy-file command gives ""Parent doesn't exist"" in a fresh install","I'm trying to follow the docs at this page.
   http://maven.apache.org/archiva/guides/getting-started/maven-configuration.html

I'm setting security credentials and issuing this command with a pom.xml to include wagon-webdav
    mvn deploy:deploy-file -DgroupId=com.orbeon -DartifactId=blah -Dversion=3.5.1 -Dpackaging=jar -Dfile=lib/blah.jar -DrepositoryId=3rdp-releases -Durl=http://jerboa.intsec.amnesty.org:8081/archiva/repository/3rdp-releases/

I get this error message
[INFO] Error deploying artifact: Failed to transfer file: http://jerboa.intsec.a
mnesty.org:8081/archiva/repository/3rdp-releases//com/orbeon/blah/3.5.1/blah-3.5
.1.jar. Return code is: 409

An ethereal trace shows this request
   PUT /archiva/repository/3rdp-releases/com/orbeon/blah/3.5.1/blah-3.5.1.jar HTTP/1.1

And this response..

<html>
<head><title>Error 409 Conflict</title></head>
<body>
<p><b>Error 409 Conflict</b></p>
<p>Resource in error: <a href=""http://jerboa.intsec.amnesty.org:8081/archiva/repository/com/orbeon/blah/3.5.1/blah-3.5.1.jar/com/orbeon/blah/3.5.1/blah-3.5.1.jar"">
http://jerboa.intsec.amnesty.org:8081/archiva/repository/com/orbeon/blah/3.5.1/blah-3.5.1.jar/com/orbeon/blah/3.5.1/blah-3.5.1.jar</a></p>
<hr /><p>Exception details:</p>
<pre>it.could.webdav.DAVException: Parent doesn't exist
	at it.could.webdav.DAVResource.write(DAVResource.java:465)
	at it.could.webdav.methods.PUT.process(PUT.java:59)
	at it.could.webdav.DAVProcessor.process(DAVProcessor.java:79)
	at org.codehaus.plexus.webdav.simple.SimpleDavServerComponent.process(SimpleDavServerComponent.java:142)
	at org.apache.maven.archiva.web.repository.ProxiedDavServer.process(ProxiedDavServer.java:156)
	at org.codehaus.plexus.webdav.servlet.multiplexed.MultiplexedWebDavServlet.service(MultiplexedWebDavServlet.java:111)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:802)
	at org.mortbay.jetty.servlet.ServletHolder.handle(ServletHolder.java:428)
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilter(WebApplicationHandler.java:830)
	at com.opensymphony.webwork.dispatcher.FilterDispatcher.doFilter(FilterDispatcher.java:189)
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilter(WebApplicationHandler.java:821)
	at com.opensymphony.module.sitemesh.filter.PageFilter.doFilter(PageFilter.java:39)
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilter(WebApplicationHandler.java:821)
	at com.opensymphony.webwork.dispatcher.ActionContextCleanUp.doFilter(ActionContextCleanUp.java:88)
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilter(WebApplicationHandler.java:821)
	at org.mortbay.jetty.servlet.WebApplicationHandler.dispatch(WebApplicationHandler.java:471)
	at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:568)
	at org.mortbay.http.HttpContext.handle(HttpContext.java:1530)
	at org.mortbay.jetty.servlet.WebApplicationContext.handle(WebApplicationContext.java:633)
	at org.mortbay.http.HttpContext.handle(HttpContext.java:1482)
	at org.mortbay.http.HttpServer.service(HttpServer.java:909)
	at org.mortbay.http.HttpConnection.service(HttpConnection.java:816)
	at org.mortbay.http.HttpConnection.handleNext(HttpConnection.java:982)
	at org.mortbay.http.HttpConnection.handle(HttpConnection.java:833)
	at org.mortbay.http.SocketListener.handleConnection(SocketListener.java:244)
	at org.mortbay.util.ThreadedServer.handle(ThreadedServer.java:357)
	at org.mortbay.util.ThreadPool$PoolThread.run(ThreadPool.java:534)
</pre>
</body>
</html>

Note that request and response are very different..
  /archiva/repository/3rdp-releases/com/orbeon/blah/3.5.1/blah-3.5.1.jar
  /archiva/repository/com/orbeon/blah/3.5.1/blah-3.5.1.jar/com/orbeon/blah/3.5.1/blah-3.5.1.jar

Has anyone got this working? I can't imagine how it could work, at least in the release I have.

",Major,Closed,Fixed,Brett Porter,brettporter,Damon Rand,damonrand
MRM-416,Bug,2007-06-20T02:13:37.426Z,2007-06-20T02:13:37.426Z,2007-06-24T20:24:40.702Z,2007-06-24T20:24:40.702Z,2007-06-24T20:07:25.079Z,2007-06-24T20:07:25.079Z,Find artifact does not work.,Finding an artifact always shows the 'No results found' message even though the artifact that is being looked for is in the repository.,Major,Closed,Fixed,Maria Odea Ching,oching,Henry S. Isidro,hisidro
MRM-428,Bug,2007-07-03T08:18:38.814Z,2007-07-03T08:18:38.814Z,2007-10-01T17:29:23.137Z,2007-10-01T17:29:23.137Z,2007-10-01T17:29:23.142Z,2007-10-01T17:29:23.142Z,managed and remote repositories with same name causes problems,"I created both a managed and remote repository entry with the name central -- the intent was for one to proxy the other.  The administrative interfaces did not gripe about using duplicate names but the proxy did not seem to work.  In the logs I found the following information (which looked suspect):

328579 [SocketListener0-1] DEBUG org.apache.maven.archiva.proxy.RepositoryProxyConnectors:default  - Attempting connector: ProxyConnector[
  source:ArchivaRepository[central,file:/u01/home/proj/.repos/central/]
  target:ArchivaRepository[central,file:/u01/home/proj/.repos/central/]
  proxyId:mpare
  policy[releases]:once
  policy[checksum]:fix
  policy[snapshots]:disabled
  policy[cache-failures]:ignored
]

When I requested that the remote central repository be deleted, the managed repository entry was deleted instead.  After I removed all central repositories I created a managed repository named central and a remote repository named centralExt and the proxying seemed to work as expected.",Critical,Closed,Fixed,Joakim Erdfelt,joakime,Eli Miller,emiller@planalytics.com
MRM-441,Bug,2007-08-01T23:43:37.558Z,2007-08-01T23:43:37.558Z,2007-09-12T07:02:48.656Z,2007-09-12T07:02:48.656Z,2007-09-12T07:02:48.668Z,2007-09-12T07:02:48.668Z,"removing a ""remote repository"" should not present the page about handling content","eg. delete the default java.net repository when starting a new installation.

Expected result: a confirmation page (yes/no only) about whether to remove it
Actual result: the normal managed repository page about deleting the repository definition, contents, or going back",Major,Closed,Fixed,Brett Porter,brettporter,Brett Porter,brettporter
MRM-471,Wish,2007-08-13T05:40:25.607Z,2007-08-13T05:40:25.607Z,2007-08-20T09:15:36.389Z,2007-08-20T09:15:36.389Z,2007-08-14T06:30:06.226Z,2007-08-14T06:30:06.226Z,Create a sample project that demonstrates how a component can be plugged into Archiva.,,Major,Closed,Fixed,Maria Odea Ching,oching,Maria Odea Ching,oching
MRM-433,Bug,2007-07-17T08:45:53.319Z,2007-07-17T08:45:53.319Z,2007-10-09T10:44:44.48Z,2007-10-09T10:44:44.48Z,2007-10-09T10:44:44.498Z,2007-10-09T10:44:44.498Z,Artifacts file types aren't take in account,,Major,Closed,Duplicate,Brett Porter,brettporter,Mathieu Godlewski,matgodle
MRM-453,Improvement,2007-08-06T03:43:45.931Z,2007-08-06T03:43:45.931Z,2007-08-27T07:30:03.085Z,2007-08-27T07:30:03.085Z,2007-08-27T07:30:03.088Z,2007-08-27T07:30:03.088Z,Create missing tests for repository purge,"Comments from MRM-294:

A general thought here too, for later: it might be worth reviewing the exceptions that can occur in *Purge and see if we can recover better from each rather than bubbling it

Tests:

    * I think you can remove many of the components from the test XML files where the default suffice (just keep the registry and jdo factory)
    * the tests have a lot of bolierplate that can probably be turned into methods that generate test data

Missing tests:

    * no tests for the consumer or the Released Snapshots purge
    * days old test is only testing by file age - it should also test the metadata-driven snapshots

A general thought for Archiva in the long term, too... setting up the database to test this was probably a pain. We should have stub implementations of the indexer and dao's to avoid it.",Major,Closed,Fixed,Maria Odea Ching,oching,Maria Odea Ching,oching
MRM-420,Bug,2007-06-22T03:25:21.406Z,2007-06-22T03:25:21.406Z,2007-06-22T07:00:58.565Z,2007-06-22T07:00:58.565Z,2007-06-22T07:00:58.57Z,2007-06-22T07:00:58.57Z,Editing a network proxy creates a new network proxy when saving modifications,"1- Create a network proxy
2- Go and edit that proxy : after clicking on ""Save Network Proxy"", you'll see that a new network proxy has been created, with an empty identifier (which makes it impossible to delete afterwards)",Major,Closed,Fixed,Fabrice Bellingard,fabemn,Fabrice Bellingard,fabemn
MRM-442,Bug,2007-08-02T11:50:47.144Z,2007-08-02T11:50:47.144Z,2007-08-13T06:55:59.956Z,2007-08-13T06:55:59.956Z,2007-08-13T06:55:59.96Z,2007-08-13T06:55:59.96Z,Unable to disable Scannable on a Local Repository.,"As reported in archiva-users mailing list

Barrie Treloar wrote:
> I'm using Archiva 1.0 Alpha 2,
>
> When I edit a repository definition and disable ""Scannable"" and save
> my changes, the changes appear to be ignored on the Repositories
> screen.

",Major,Closed,Duplicate,,,Joakim Erdfelt,joakime
MRM-403,Bug,2007-05-30T03:52:14.248Z,2007-05-30T03:52:14.248Z,2007-06-21T13:23:27.946Z,2007-06-21T13:23:27.946Z,2007-06-21T13:23:27.948Z,2007-06-21T13:23:27.948Z,"when browsing, groups list incorrect sub-groups","eg. go to group ant, and see more groups are listed at the top (eg, ant again, but also ant-contrib, etc), even though you are inside a group that does not have sub groups.
",Major,Closed,Fixed,Joakim Erdfelt,joakime,Brett Porter,brettporter
MRM-424,Improvement,2007-06-22T09:08:59.022Z,2007-06-22T09:08:59.022Z,2007-06-22T19:29:22.533Z,2007-06-22T19:29:22.533Z,2007-06-22T19:29:09.135Z,2007-06-22T19:29:09.135Z,Distributions should have apache in the name and unpack to versioned directories,"The source distribution should be named archiva-1.0-alpha-2-src.zip and unpack to archiva-1.0-alpha-2-src.  

Based on other discussions both the binary and source distributions should be renamed (and unpack to) apache-archiva-*.",Major,Closed,Fixed,Wendy Smoak,wsmoak,Wendy Smoak,wsmoak
MRM-469,Bug,2007-08-13T02:06:00.426Z,2007-08-13T02:06:00.426Z,2007-09-24T13:25:48.673Z,2007-09-24T13:25:48.673Z,2007-09-24T13:23:06.648Z,2007-09-24T13:23:06.648Z,Test failure in MavenProjectInfoReportsPluginDependencyGraphTest in archiva-dependency-graph,I commented the assert(...) in testResolvedDepsToNodes() to be able to release 1.0-beta-1.,Major,Closed,Fixed,Joakim Erdfelt,joakime,Maria Odea Ching,oching
MRM-444,Bug,2007-08-03T02:28:08.164Z,2007-08-03T02:28:08.164Z,2007-10-02T13:20:04.067Z,2007-10-02T13:20:04.067Z,2007-10-02T13:20:04.072Z,2007-10-02T13:20:04.072Z,intermittent test failures on proxy,"testGetDefaultLayoutAlreadyPresentPolicyIgnored(org.apache.maven.archiva.proxy.ManagedDefaultTransferTest)  Time elapsed: 0.114 sec  <<< FAILURE!
junit.framework.AssertionFailedError: Check file timestamp is that of original managed file: expected within range lo:<1186125890450> hi:<1186125891550> but was:<1186125892000>
        at junit.framework.Assert.fail(Assert.java:47)
        at org.apache.maven.archiva.proxy.ManagedDefaultTransferTest.testGetDefaultLayoutAlreadyPresentPolicyIgnored(ManagedDefaultTransferTest.java:139)
",Major,Closed,Fixed,Joakim Erdfelt,joakime,Brett Porter,brettporter
MRM-417,Bug,2007-06-20T14:23:20.105Z,2007-06-20T14:23:20.105Z,2007-06-21T13:28:53.645Z,2007-06-21T13:28:53.645Z,2007-06-21T12:13:29.985Z,2007-06-21T12:13:29.985Z,Unable to view repository contents with IE6,"Attempting to visit a url such as http://repo.example.com/archiva/repository/releases/org/apache/struts results in a dialog box:

File Download - Security Warning
Do you want to save this file?
Name: examples 
Type: Unknown File Type 
From: repo.mycompany.com

The 'file' in question is a directory.  you can't see the repo contents.
",Major,Closed,Fixed,Joakim Erdfelt,joakime,Wendy Smoak,wsmoak
MRM-497,Bug,2007-09-13T10:16:15.903Z,2007-09-13T10:16:15.903Z,2015-04-05T14:53:54.339Z,2015-04-05T14:53:54.339Z,2007-09-14T09:40:02.692Z,2007-09-14T09:40:02.692Z,Incomplete deployment descriptor,The web.xml deployment descriptor is missing resource reference entries.,Major,Closed,Fixed,Emmanuel Venisse,evenisse,Aleksandr Tarutin,atarutin
