issue_id,username,display_name,created_date,created_date_zoned,message
MRM-431,sotretus,Andres Bernasconi,2007-07-10T13:32:25.968Z,2007-07-10T13:32:25.968Z,"And here is the wrapper log from Archiva

{code}
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Attempting connector: ProxyConn
ector[
jvm 1    |   source:ArchivaRepository[internal,file://${appserver.home}/reposito
ries/internal]
jvm 1    |   target:ArchivaRepository[central,http://repo1.maven.org/maven2]
jvm 1    |   proxyId:SMG Proxy
jvm 1    |   policy[releases]:once
jvm 1    |   policy[checksum]:fix
jvm 1    |   policy[snapshots]:disabled
jvm 1    |   policy[cache-failures]:ignored
jvm 1    | ]
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Using target repository: centra
l - layout: default - targetPath: xml-security/xmlsec/1.3.0/xmlsec-1.3.0.pom
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Applying [releases] policy with
 [once]
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.policies.PreDownloadPolicy:releases  - OK to update releases, local file d
oes not exist.
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Applying [snapshots] policy wit
h [disabled]
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.policies.PreDownloadPolicy:snapshots  - OK to update, snapshot policy does
 not apply for non-snapshot versions.
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Applying [cache-failures] polic
y with [ignored]
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.policies.PreDownloadPolicy:cache-failures  - OK to fetch, check-failures p
olicy set to IGNORED.
jvm 1    | 2007-07-10 15:31:00,122 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Retrieving xml-security/xmlsec/
1.3.0/xmlsec-1.3.0.pom from Central Repository if updated
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] WARN  org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Resource does not exist: Unable
 to locate resource in repository
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Attempting connector: ProxyConn
ector[
jvm 1    |   source:ArchivaRepository[internal,file://${appserver.home}/reposito
ries/internal]
jvm 1    |   target:ArchivaRepository[maven2-repository.dev.java.net,http://down
load.java.net/maven/2/]
jvm 1    |   proxyId:SMG Proxy
jvm 1    |   policy[releases]:once
jvm 1    |   policy[checksum]:fix
jvm 1    |   policy[snapshots]:disabled
jvm 1    |   policy[cache-failures]:ignored
jvm 1    | ]
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Using target repository: maven2
-repository.dev.java.net - layout: default - targetPath: xml-security/xmlsec/1.3
.0/xmlsec-1.3.0.pom
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Applying [releases] policy with
 [once]
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.policies.PreDownloadPolicy:releases  - OK to update releases, local file d
oes not exist.
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Applying [snapshots] policy wit
h [disabled]
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.policies.PreDownloadPolicy:snapshots  - OK to update, snapshot policy does
 not apply for non-snapshot versions.
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Applying [cache-failures] polic
y with [ignored]
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.policies.PreDownloadPolicy:cache-failures  - OK to fetch, check-failures p
olicy set to IGNORED.
jvm 1    | 2007-07-10 15:31:00,934 [SocketListener0-0] DEBUG org.apache.maven.ar
chiva.proxy.RepositoryProxyConnectors:default  - Path [xml-security/xmlsec/1.3.0
/xmlsec-1.3.0.pom] is not part of defined whitelist (skipping transfer).

{code}"
MRM-431,sotretus,Andres Bernasconi,2007-07-10T14:06:10.622Z,2007-07-10T14:06:10.622Z,There was a problem with the DNS of the Firewall. Now fixed.
MRM-402,joakime,Joakim Erdfelt,2007-06-21T12:30:26.852Z,2007-06-21T12:30:26.852Z,"Attached image of what happens.

The list of links in this example link to the following artifacts ...

* daytrader-ejb-2.0-SNAPSHOT.jar
* daytrader-ejb-2.0-SNAPSHOT.pom
* daytrader-ejb-2.0-SNAPSHOT-client.jar
* daytrader-ejb-2.0-SNAPSHOT-javadoc.jar
* daytrader-ejb-2.0-SNAPSHOT-sources.jar

I think it should show the following instead.

| *Jar* | | _(size-kb)_ |
| *Pom* | | _(size-kb)_ |
| *Jar* | Client | _(size-kb)_ |
| *Jar* | Javadoc | _(size-kb)_ |
| *Jar* | Source | _(size-kb)_ |

What do you think?"
MRM-402,deki,Dennis Kieselhorst,2008-10-28T06:22:40.295Z,2008-10-28T06:22:40.295Z,"Seems to be fixed, see screenshot in MRM-989."
MRM-402,brettporter,Brett Porter,2009-12-21T05:23:32.455Z,2009-12-21T05:23:32.455Z,fixed for some time
MRM-456,brettporter,Brett Porter,2007-08-07T04:00:25.327Z,2007-08-07T04:00:25.327Z,"I think I will really need to change this to allow multiple sources, but fail if both contain items that are lists (repositories, scanners, etc).
"
MRM-493,joakime,Joakim Erdfelt,2007-10-10T18:37:20.724Z,2007-10-10T18:37:20.724Z,MRM-518 has been marked as a duplicate of this issue.
MRM-493,joakime,Joakim Erdfelt,2007-10-10T18:53:07.254Z,2007-10-10T18:53:07.254Z,"Confirmed as still a problem in archiva/trunk.
This is configuration listener issue somewhere in ...
* RepositoryServlet (or)
* RepositoryContentFactory (or)
* DefaultRepositoryProxyConnectors (or)
* RepositoryContentConsumers"
MRM-493,joakime,Joakim Erdfelt,2007-10-10T19:33:35.766Z,2007-10-10T19:33:35.766Z,Fixed in archiva/trunk revision 583646.
MRM-452,brettporter,Brett Porter,2007-08-05T01:04:06.134Z,2007-08-05T01:04:06.134Z,"this may not be a major issue, since the database/index scans should detect the deleted artifacts the next time around anyway..."
MRM-408,brettporter,Brett Porter,2007-07-31T08:27:04.249Z,2007-07-31T08:27:04.249Z,seen this too - a major nuisance!
MRM-408,brettporter,Brett Porter,2007-08-09T09:31:19.9Z,2007-08-09T09:31:19.9Z,I will take a look at this
MRM-408,axismundi,Marc Lustig,2009-07-30T06:08:27.195Z,2009-07-30T06:08:27.195Z,"I still get this error using Archiva 1.2.1

Uploading: http://archiva.muc.company/repository/banksnapshots/de/company/bank/2.0.1-SNAPSHOT/bank-2.0.1-20090730.110000-1.pom
[HUDSON] Archiving /opt/continuum/work06/.hudson/jobs/Bank-trunk/workspace/trunk/pom.xml to /opt/continuum/work06/.hudson/jobs/Bank-trunk/modules/de.company.bank$azbank/builds/2009-07-30_12-59-46/archive/de.company.bank/bank/2.0.1-SNAPSHOT/pom.xml
[INFO] ------------------------------------------------------------------------
[ERROR] BUILD ERROR
[INFO] ------------------------------------------------------------------------
[INFO] Error deploying artifact: Failed to transfer file: http://archiva.muc.company/repository/banksnapshots/de/company/bank/bank/2.0.1-SNAPSHOT/bank-2.0.1-20090730.110000-1.pom. Return code is: 409 Conflict
"
MRM-408,brettporter,Brett Porter,2009-07-30T06:12:30.811Z,2009-07-30T06:12:30.811Z,"Marc, can you open a new issue (just link back to this one). Please let us know what wagon/maven version you are using as well"
MRM-408,axismundi,Marc Lustig,2009-07-30T06:22:31.941Z,2009-07-30T06:22:31.941Z,"I could resolve this by setting correct file permissions.
Still, this is not an adequate response of Archiva, it does not meet thre W3C requirements for the 409-response: ""The response body SHOULD include enough information for the user to recognize the source of the conflict"""
MRM-416,oching,Maria Odea Ching,2007-06-21T04:40:45.181Z,2007-06-21T04:40:45.181Z,"The database must be updated (to run index-artifact consumer) so that the artifact checksums are added in the index. Currently, there are 2 ways to do this:
1. Manually execute this (Database --> click Update Database Now)
2. Wait for it to be executed through the schedule

Is it possible to do this if we hook it up to automatically execute right after a repository scan is performed (even for just those manually triggered repository scans) ?
Thoughts anyone?"
MRM-416,joakime,Joakim Erdfelt,2007-06-21T12:22:14.271Z,2007-06-21T12:22:14.271Z,"Actually ...

We can use the database contents in ArchivaArtifact to search for the checksums for MD5 and SHA1.
That data is up to date.

We should change this search from the old way of using Lucene to just using the database (as it's intended)."
MRM-416,oching,Maria Odea Ching,2007-06-22T07:03:36.572Z,2007-06-22T07:03:36.572Z,"Fixed in -r549792

Fix was:
- Added DatabaseSearch class for querying from the database (This could be used for future database queries so there is only one entry point for all 
db queries)
- Added ArtifactsByChecksumConstraint to be used for querying artifacts by checksum (either sha1, md5 or both)
- Updated ""artifact"" result of findArtifact action in xwork.xml
- Updated SearchAction to find an artifact (using checksums) in the database instead of in the indices
- Updated results.jsp to accomodate when the results came from the database instead of the SearchResults that is for index searching
- Deleted ArtifactsBySha1Constraint and its test, replaced by ArtifactsByChecksumConstraint
- Created tests for the new classes added

Please verify.. thanks :)
"
MRM-416,wsmoak,Wendy Smoak,2007-06-24T20:24:40.692Z,2007-06-24T20:24:40.692Z,"Based on the date this was resolved and svn history, it must be included in1.0-alpha-2."
MRM-428,brettporter,Brett Porter,2007-08-03T02:44:33.039Z,2007-08-03T02:44:33.039Z,"scheduling for beta-2 since this is nether a feature or a blocker.

I'd like to do a more general configuration/admin review as there are plenty of other similar problems."
MRM-428,joakime,Joakim Erdfelt,2007-10-01T17:29:23.106Z,2007-10-01T17:29:23.106Z,"Closing jira, as recent changes to the repository admin/config screens now prevents this from occuring."
MRM-471,oching,Maria Odea Ching,2007-08-13T06:02:51.867Z,2007-08-13T06:02:51.867Z,"Added in -r565307 with the following changes:
- Created a consumer for discovering new artifacts in the repository being scanned.
- Added a ReadMe.txt file that contains instructions on how to plugin a component in Archiva

To do:
- Needs to be tested
"
MRM-471,oching,Maria Odea Ching,2007-08-13T06:05:52.996Z,2007-08-13T06:05:52.996Z,"Btw, the project is available at http://svn.apache.org/repos/asf/maven/sandbox/trunk/archiva/archiva-consumer-plugin"
MRM-471,oching,Maria Odea Ching,2007-08-14T06:30:06.219Z,2007-08-14T06:30:06.219Z,"Fixed in -r565706

- Added feature for dumping the new artifacts into a file.
- I also tested this component"
MRM-433,matgodle,Mathieu Godlewski,2007-07-17T09:09:24.532Z,2007-07-17T09:09:24.532Z,"It doesn't seem possible to access artifacts with .xml.zip extension.
When I try accessing the following artefact in a browser:
http://MYARCHIVA:9995/archiva/repository/internal/org/andromda/metafacades/andromda-metafacades-uml/3.2/andromda-metafacades-uml-3.2.xml.zip

I've got the following stack :
it.could.webdav.DAVException: Not found
	at org.codehaus.plexus.webdav.simple.ReplacementGetMethod.process(ReplacementGetMethod.java:92)
	at it.could.webdav.DAVProcessor.process(DAVProcessor.java:79)
	at org.codehaus.plexus.webdav.simple.SimpleDavServerComponent.process(SimpleDavServerComponent.java:152)
	at org.apache.maven.archiva.web.repository.ProxiedDavServer.process(ProxiedDavServer.java:138)

But nothing in the archiva logs (no remote repositories are checked, neither archiva policies).

I try some other file type and here my conclusions:
With any simple extension, Archiva checks the remote repositories.
With any double extension, Archiva fails instantaneously.

Adding ""**/*.xml.zip"" pattern in artifact file types doesn't solve the issue."
MRM-453,oching,Maria Odea Ching,2007-08-26T04:42:58.62Z,2007-08-26T04:42:58.62Z,"Initial commit -r569789:
- Added tests for RepositoryConsumer and CleanupReleasedSnapshotsRepositoryPurge
- Added test data for the new tests
- Refactored AbstractRepositoryPurgeTest, DaysOldRepositoryPurgeTest and RetentionCountRepositoryPurgeTest


To follow:
- days old test (metadata-driven snapshots)"
MRM-453,oching,Maria Odea Ching,2007-08-27T07:30:03.064Z,2007-08-27T07:30:03.064Z,"Final fix -r570089

Fix for the test cases:
- Added tests for metadata driven snapshots in DaysOldRepositoryPurgeTest
- Added test data

Changes made in DaysOldRepositoryPurge:
- Added functionality to consider the metadata driven snapshots (check the timestamp in the filename first before the last modified date of the 
file if it is a unique versioned snapshot)
"
MRM-420,fabemn,Fabrice Bellingard,2007-06-22T05:09:56.137Z,2007-06-22T05:09:56.137Z,"The attribute ""disabled"" of the proxy.id input field is set to true when editing, which causes the value of this field not to be sent back to the server when submitting the form."
MRM-420,fabemn,Fabrice Bellingard,2007-06-22T07:00:58.563Z,2007-06-22T07:00:58.563Z,Fixed on trunk.
MRM-442,oching,Maria Odea Ching,2007-08-13T06:55:59.953Z,2007-08-13T06:55:59.953Z,Duplicated by MRM-407
MRM-403,joakime,Joakim Erdfelt,2007-06-21T13:23:27.944Z,2007-06-21T13:23:27.944Z,Fixed in trunk.
MRM-424,wsmoak,Wendy Smoak,2007-06-22T19:29:09.129Z,2007-06-22T19:29:09.129Z,"Changed to apache-archiva-$version for the filename, but was unable to get -src into the directory name inside the source distro."
MRM-469,joakime,Joakim Erdfelt,2007-09-24T13:23:06.642Z,2007-09-24T13:23:06.642Z,Do not use JDK 1.6
MRM-444,joakime,Joakim Erdfelt,2007-10-02T13:20:04.059Z,2007-10-02T13:20:04.059Z,"Brett's commit on 574859 increased the delta to 20000 ms.
"
MRM-417,joakime,Joakim Erdfelt,2007-06-20T14:28:24.466Z,2007-06-20T14:28:24.466Z,"Under archiva 1.0-alpha-2 i get the following ...

h4. Get Request

{noformat}
GET /archiva/repository/internal/org/apache/maven/maven-parent/5/ HTTP/1.1
Host: localhost:8080
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.4) Gecko/20060601 Firefox/2.0.0.4 (Ubuntu-edgy)
Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5
Accept-Language: en-us,en;q=0.5
Accept-Encoding: gzip,deflate
Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
Keep-Alive: 300
Connection: keep-alive
Referer: http://localhost:8080/archiva/repository/internal/org/apache/maven/maven-parent/
Cookie: JSESSIONID=6fm8tmboihcfe; rbkRememberMe=55ba27e74a224f849eb1ce109bf8173e; rbkSignon=562b8a4dd0904a0c84060ad472c3e5e0
Authorization: Basic YWRtaW46Ym9iMQ==
{noformat}

h4. Get Response

{noformat}
HTTP/1.x 200 OK
Date: Wed, 20 Jun 2007 19:26:20 GMT
Server: Jetty/5.1.10 (Linux/2.6.17-10-server i386 java/1.5.0_08
DAV: 1
MS-Author-Via: DAV
Content-Type: text/html ;charset=""UTF-8""
Etag: ""636C5B52201B3432D1CEB6A9B2ECE331-7AFEB923-00000112E8E0C238""
Last-Modified: Fri, 01 Jun 2007 20:01:23 GMT
Transfer-Encoding: chunked
{noformat}"
MRM-417,joakime,Joakim Erdfelt,2007-06-20T14:29:13.57Z,2007-06-20T14:29:13.57Z,"I suspect that the following bit in the HTTP Response is the culprit.

{noformat}
Content-Type: text/html ;charset=""UTF-8""
{noformat}

The extra space before the ';' isn't supposed to be there."
MRM-417,joakime,Joakim Erdfelt,2007-06-20T14:42:36.402Z,2007-06-20T14:42:36.402Z,"As seen in Archiva 0.9 ...

h4. Get Request

{noformat}
GET /archiva/repository/internal/org/apache/maven/maven-parent/5/ HTTP/1.1
Host: localhost:8080
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.4) Gecko/20060601 Firefox/2.0.0.4 (Ubuntu-edgy)
Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5
Accept-Language: en-us,en;q=0.5
Accept-Encoding: gzip,deflate
Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
Keep-Alive: 300
Connection: keep-alive
Referer: http://localhost:8080/archiva/repository/internal/org/apache/maven/maven-parent/
Cookie: JSESSIONID=a1nn6bf1h3k30; rbkRememberMe=b575e7059b4646929f4f2d67597e4ecc; rbkSignon=6f1e8ff0467841f6a901a32cc0e007b7
Authorization: Basic YWRtaW46Ym9iMQ==
Pragma: no-cache
Cache-Control: no-cache
{noformat}

h4. Get Response

{noformat}
HTTP/1.x 200 OK
Date: Wed, 20 Jun 2007 19:40:43 GMT
Server: Jetty/5.1.10 (Linux/2.6.17-10-server i386 java/1.5.0_08
DAV: 1
MS-Author-Via: DAV
Content-Type: text/html ;charset=""UTF-8""
Etag: ""636C5B52201B3432D1CEB6A9B2ECE331-7AFEB923-00000112E8E0C238""
Last-Modified: Fri, 01 Jun 2007 20:01:23 GMT
Transfer-Encoding: chunked
{noformat}
"
MRM-417,joakime,Joakim Erdfelt,2007-06-20T14:47:51.621Z,2007-06-20T14:47:51.621Z,"Tested with IE7 under both archiva 1.0 and archiva 0.9.
Both versions fail to show the content."
MRM-417,wsmoak,Wendy Smoak,2007-06-20T15:01:33.047Z,2007-06-20T15:01:33.047Z,"Comparing the output of wget -S from both versions as suggested by Brett, this line is present in 0.9 and missing in 1.0:

Content-Disposition: inline; filename=""index.html""

(With IE6, 0.9 works fine.)"
MRM-417,joakime,Joakim Erdfelt,2007-06-20T16:40:33.074Z,2007-06-20T16:40:33.074Z,"Fixed on plexus-webdav.
New SNAPSHOT deployed for plexus-webdav 1.0-alpha-3-SNAPSHOT

Updated archiva/trunk to use new snapshot.

h4. Fixed Get Response

{noformat}
HTTP/1.x 200 OK
Date: Wed, 20 Jun 2007 21:35:26 GMT
Server: Jetty/5.1.10 (Linux/2.6.17-10-server i386 java/1.5.0_08
DAV: 1
MS-Author-Via: DAV
Content-Type: text/html ;charset=""UTF-8""
Etag: ""636C5B52201B3432D1CEB6A9B2ECE331-7AFEB923-00000112E8E0C238""
Last-Modified: Fri, 01 Jun 2007 20:01:23 GMT
Content-Disposition: inline; filename=""index.html""
Transfer-Encoding: chunked
{noformat}"
MRM-417,joakime,Joakim Erdfelt,2007-06-21T12:13:29.979Z,2007-06-21T12:13:29.979Z,"Fixed at plexus-webdav.
Archiva trunk now using newly released plexus-webdav (1.0-alpha-3) with this fix."
MRM-497,evenisse,Emmanuel Venisse,2007-09-14T09:40:02.672Z,2007-09-14T09:40:02.672Z,Applied. Thanks.
MRM-462,brettporter,Brett Porter,2007-08-09T00:28:04.94Z,2007-08-09T00:28:04.94Z,"some subtle issues this would address:

- https repositories get recognised as managed repositories (the path is set to ${appserver.home}/https:/...
- file URLs are overly picky and not compliant with the RFC for URLs

If this issue is not scheduled for 1.0, the above both need to be fixed independently (note that these problems appear to be in the save action itself, since if you edit the configuration by hand the information remains correct)"
MRM-462,joakime,Joakim Erdfelt,2007-08-14T20:47:55.765Z,2007-08-14T20:47:55.765Z,"Discussion on this JIRA is in progress in archiva-dev mailing list.
See http://www.nabble.com/MRM-462%3A-configuring-different-types-of-repositories-differently-tf4259505.html"
MRM-462,brettporter,Brett Porter,2007-08-17T03:40:12.457Z,2007-08-17T03:40:12.457Z,"consensus seemed to be around the original plan, but with the added condition that id's may not be duplicated between different repository types"
MRM-462,brettporter,Brett Porter,2007-09-12T04:29:00.133Z,2007-09-12T04:29:00.133Z,merged
MRM-437,joakime,Joakim Erdfelt,2007-10-04T17:31:31.844Z,2007-10-04T17:31:31.844Z,Fixed in archiva/trunk revision 582020.
MRM-407,oching,Maria Odea Ching,2007-08-08T21:13:21.762Z,2007-08-08T21:13:21.762Z,See comments in MRM-374
MRM-407,oching,Maria Odea Ching,2007-08-15T03:49:18.568Z,2007-08-15T03:49:18.568Z,"Fixed in -r566068

- Added the hack for the webwork checkbox in ConfigureRepositoryAction, same one used for 0.9-alpha-2"
MRM-450,tcue,Teodoro Cue Jr.,2007-08-19T02:34:31.971Z,2007-08-19T02:34:31.971Z,Patch attached. It contains fixes for this and for MRM-449.
MRM-450,brettporter,Brett Porter,2007-08-21T03:16:40.172Z,2007-08-21T03:16:40.172Z,"applied, thanks!"
MRM-460,ndeloof,nicolas de loof,2007-08-07T04:16:32.191Z,2007-08-07T04:16:32.191Z,"The default archiva configuration set the remote-proxies connectors to ""cache"", that is an invalid value. I don't know where this default configuration is stored in archiva source folders, so cannot attach a patch for it."
MRM-460,ndeloof,nicolas de loof,2007-08-07T04:20:49.64Z,2007-08-07T04:20:49.64Z,"I've found the archiva default configuration to be in ... archiva-configuration\src\main\resources\org\apache\maven\archiva\configuration\default-archiva.xml

The attached patch set the cache-failure policy to ""cached"", as ""cache"" is not a valid value. "
MRM-460,brettporter,Brett Porter,2007-09-15T22:47:28.234Z,2007-09-15T22:47:28.234Z,"applied, thanks!"
MRM-483,jameswdumay,James William Dumay,2008-05-08T01:42:21.167Z,2008-05-08T01:42:21.167Z,Moving to 1.1.x
MRM-483,brettporter,Brett Porter,2011-09-12T09:31:34.68Z,2011-09-12T09:31:34.68Z,something to review with the repository-admin rework
